,User,Tweet,Cloud
34,1601038670223376384,"@aashaysanghvi_ Snowflake ❄️ marketplace for data

Salesforce and Zoom marketplace for s&amp;m tools— ie @Gong_io

Obvious but AWS, Azure and GCP — @tackleio has become a 🦄 enabling this channel

GitHub apps is still nascent

I’d say two broad categories are / integrations page and app marketplaces",AWS
35,1600992466106486785,"@energywebx Now Available on Amazon 👀 👀 💻 💰 🏦 
Energy Web RPC nodes on AWS Marketplace is the first step towards Energy Web as-a-service….. lfg https://t.co/yW8tcXaSnn

#Bitcoin   #eth #QNT #XRP #prem #mnw #XDC #Crypto #wagmi #cro    #iota #CSPR #xlm #HBAR #xrp #LINK",AWS
36,1600986493207674881,"Scaling on social just got easier. 

I’m excited to share that Hootsuite has joined AWS’ co-sell program and has launched in AWS Marketplace, simplifying the procurement process of our software solution for social marketers. 

Learn more ➡️ https://t.co/qWXUloqcLu https://t.co/zjvS5sUmqq",AWS
37,1600969501364965384,Radish Systems ChoiceView® Products Available in AWS Marketplace https://t.co/cpHM1TGvH8,AWS
38,1600942429578104832,How IAM Health Cloud Helps You Manage AWS IAM Even When You Have Multiple Accounts: IAM Health Cloud is a SaaS solution available in AWS Marketplace that enables continuous and central collection and analysis of all AWS Identity and Access Management… https://t.co/G9NSkBvmFR https://t.co/WwA6mm4s0w,AWS
39,1600934769033940996,Using our #DAST solution just got even easier – @InvictiSecurity is now available on the @awsmarketplace. Learn more at https://t.co/hbVmx0Nf9H. https://t.co/YwxddpZEyt,AWS
40,1600924975548235776,"AWS’ Ruba Borno On IBM, Cisco And AWS Marketplace Growth | CRN https://t.co/8bHOVC6cEh",AWS
41,1600924561448570917,"#TechStuff: Q&amp;A: Databricks reveals key insights on evolving AWS Marketplace partnership - SiliconANGLE News

#datalake #deltalake #databricks

Read More Here:
https://t.co/rbrRq2PS7g",AWS
42,1600923261415657486,"Scaling on social just got easier. 

I’m excited to share that Hootsuite has joined AWS’ co-sell program and has launched in AWS Marketplace, simplifying the procurement process of our software solution for social marketers. 

Learn more ➡️ https://t.co/K5YLVWBcoO https://t.co/T44U5Hc2PH",AWS
43,1600917490804133903,"We’re in! Solvo is now available on @awsmarketplace.

Solvo’s @ShambanIT explains in @ChannelVisionMg article by @btrethewy how this allows us to quickly and easily support customers looking for trusted solutions to their #IAM challenges https://t.co/ABX9rTXiAG #cloudsecurity https://t.co/IYjt2fO18x",AWS
44,1600915243013738522,Excerpt: IAM Health Cloud is a SaaS solution available in AWS Marketplace that enables continuous and central collection and analysis of all AWS Identity and Access Management (IAM) data for determining a company’s IAM posture across any number of AWS accounts. Learn how [1/2],AWS
45,1600912648471810061,https://t.co/XWbrg6nrE9,AWS
46,1600906956201349121,@strapijs is there an option for aws marketplace yet?,AWS
47,1600905569577177138,We’re excited to announce the launch of @Adobe Experience Manager (AEM) for Public Sector customers in @awscloud Marketplace! AEM offers customers a seamless acquisition process for their cloud-based products and solutions. Read the full announcement here: https://t.co/vDpZJmTzKZ https://t.co/N66TmYU35e,AWS
48,1600904429179269120,"@mitchliu @jieyilong @w3Andrea 
I have a question about UX in @Theta_Network :

Do you have plans to offer theta network services in Aws marketplace to make it easier for companies and new developers to use web 3 to create real business value?",AWS
49,1600893750393257984,"@Cisco @Webex Named User is available via the #AWS Marketplace 
https://t.co/MVP054wYf8",AWS
50,1600891720132329472,"1) Launch your product on a marketplace to fuel organic adoption.

Supermetrics built its product around multiple ecosystems to tap into their vast user base. 

The company launched on Google Sheets, then expanded into other marketplaces like Google Data Studio, AWS, and Hubspot.",AWS
51,1600889203738710016,JumpCloud hits AWS marketplace as Apple's enterprise market grows https://t.co/W78LlGxntE https://t.co/0API0itEr8,AWS
52,1600885996396204034,"DatalogicsInc: RT @pdfRest: When compliance and regulatory guidelines prevent you from sending files out for processing beyond your borders, @pdfRest offers a Self-Hosted version available directly through the AWS Marketplace.

Learn more: … https://t.co/67hFbrz2p6",AWS
53,1600879154492329986,"Have you heard the latest news? 🔊
Customers can now use committed #AWS spend to purchase and run Red Hat @OpenShift #DataScience directly through AWS Marketplace, providing easier accessibility and flexibility for deployments. https://t.co/icJixlgthP https://t.co/9SeIEhLdDb",AWS
54,1600878584700276736,One of the highlights from #reinvent2022  Red Hat Lowers Barriers to Hybrid Cloud Adoption with Expanded Public Offerings in AWS Marketplace https://t.co/twyX9KOwt5 via @Yahoo,AWS
55,1600875377982935040,"That's right! @VMware SD-WAN is now available on AWS Marketplace! Why should you purchase our solutions through #AWS Marketplace?🤔

👉 Faster procurement
👉 Simplified billing &amp; more!

https://t.co/SqWICWBZDl https://t.co/dxL3xEVwIT",AWS
56,1600868027821613058,@CyberArk makes the most of @AWS #Marketplace to scale their business efficiently by partnering with Tackle. https://t.co/P4Vv0nGuco,AWS
57,1600861304952352769,@scrapegroat No idea if this is of any help but I did find this https://t.co/viVGqeYYch,AWS
58,1600847984719192070,AWS Marketplace Vendor Insights helps simplify third-party software risk assessments by compiling security and compliance information in a unified dashboard. It helps streamline the procurement process by granting you access to evidence made available by…https://t.co/muMpdDqzhA,AWS
59,1600844444265492482,"-New products include: AWS Supply Chain, Amazon Security Lake &amp; SimSpace Weaver

-New partnerships w/ @IBM @RedHat &amp; @Accenture 

-New specializations for partners in AI, Glue &amp; Marketplace.

20 Big Innovations Launched by @awscloud #AWS  @aselipsky 

https://t.co/xbFZR1fg8B",AWS
60,1600844414246686720,AWS Marketplace Vendor Insights is now generally available! Vendor Insights helps you streamline the third-party software risk assessment process by enabling sellers to make security &amp; compliance information available in AWS Marketplace. #reInvent https://t.co/L75A3dEHfn https://t.co/yrjZHaFrJH,AWS
61,1600835585010061313,"Kali Linux 2022.4 released, available on Azure Marketplace
👉 https://t.co/1ebuEPN612 #cloudcomputing #linux #opensource #Azure #GNOME #AWS #KDEPlasma #wifi #penetration @kalilinux @AzureMktPlace",AWS
62,1600822558047223808,[ Reading... ] New – #AWS Marketplace for Containers Now Supports Direct Deployment to Amazon EKS Clusters | AWS News Blog | https://t.co/4SjooFXGUz,AWS
63,1600807516375482368,AWS Marketplace Vendor Insights – Simplify Third-Party Software Risk Assessments https://t.co/4tbNYX6QWN,AWS
64,1600806122453364736,"AWS' Ruba Borno on IBM, Cisco and AWS marketplace growth: Taking IBM partnership to new level as AWS Marketplace growth soars. https://t.co/gGlON1diR0 https://t.co/P7t3VuDSdv",AWS
65,1600754648797032449,@RaemenSoups https://t.co/trDHExPSEv,AWS
66,1600749570249527296,Start Linux From Scratch for Beginners https://t.co/9evZiEPWWU #Linux #AWS #Cloud #masterclass #Programming #Marketplace #Featured #Courses #Sale #blackfriday https://t.co/bwwCMU07s3,AWS
67,1600749266376458240,LINBIT LINSTOR auf AWS Marketplace @zdnet_de https://t.co/MRBkzuvPCU @linbit #MultiCloud #DataManagement #BlockStorage #NVMe #Kubernetes #SDS #ITPT  @ITPressTour 47th Edition https://t.co/cWdZvmYEmC,AWS
68,1600748303586451457,Start Linux From Scratch for Beginners https://t.co/bDpNs7LeRG #Linux #AWS #Cloud #masterclass #Programming #Marketplace #Featured #Courses #Sale #blackfriday https://t.co/hsTN74xU6P,AWS
69,1600745076858114048,Start Linux From Scratch for Beginners https://t.co/3A9Cdm1gxS #Linux #AWS #Cloud #masterclass #Programming #Marketplace #Featured #Courses #Sale #blackfriday https://t.co/Uervmn1LR3,AWS
70,1600743938888847360,Start Linux From Scratch for Beginners https://t.co/imfLq8Thjq #Linux #AWS #Cloud #masterclass#Programming #Marketplace #Featured #Courses #Sale #blackfriday https://t.co/iPjHNHkfpY,AWS
71,1600728308739629057,"コンテナ向け AWS Marketplace で EKS クラスターへの直接デプロイが可能に
#AWS
https://t.co/jBP83ERPWH",AWS
72,1600728007081164801,"AWS Marketplace で、販売者レポートとインサイト用の QuickSight ダッシュボードが利用可能に (プレビュー)
#AWS
https://t.co/ZyjVARoPOq",AWS
73,1600727924285607938,"AWS Marketplace ベンダーインサイト – サードパーティソフトウェアのリスク評価を簡素化
#AWS
https://t.co/J6UC73Wlwv",AWS
74,1600727848200929280,"新機能 – AWS Marketplace for Containers が Amazon EKS クラスターへの直接デプロイのサポートを開始
#AWS
https://t.co/TwTaY5cRUF",AWS
75,1600701713509482496,"🚀 Thumbtack is hiring Senior Full Stack Engineer 

🛖 #remote #wfh 
💪 #FullStack #python #machinelearning #postgresql #deeplearning #aws 

#tech #softwareengineer #jobs 
https://t.co/FImvY3KOAs",AWS
76,1600628041616703490,"Available in the @AWS Marketplace

https://t.co/ExTKO6fXB2 https://t.co/XgFil9fsJ1",AWS
77,1600626209330794497,"AWS Marketplace for Containers 소프트웨어를 Amazon EKS 애드온 배포 환경을 통해 EKS 클러스터에 안전하게 쿠버네티스 운영 소프트웨어를 설치, 구성 및 업데이트할 수 있습니다. https://t.co/WiDaQsoc2c",AWS
78,1600618700830285829,"When compliance and regulatory guidelines prevent you from sending files out for processing beyond your borders, @pdfRest offers a Self-Hosted version available directly through the AWS Marketplace.

Learn more: https://t.co/wnh4K3nntG https://t.co/DieJWwbf9K",AWS
79,1600611831248261122,"We are participating in #AWS Marketplace Vendor Insights! Vendor Insights gives customers quick access to #security and #compliance information – and now includes NodeZero, our autonomous #pentesting platform.

Check out the press release to learn more: https://t.co/vakfSGEjuL https://t.co/Lkz8U12E7b",AWS
80,1600596198913630208,"Dell’s software-defined storage PowerFlex is now available on the AWS Marketplace as part of its Project Alpine initiative to connect its storage OSes to hyperscalers. #iwork4dell
https://t.co/cHnafIVBL2",AWS
81,1600595188506054656,"Now available in the AWS Marketplace, Lumu Technologies’ Continuous Compromise Assessment assists with controlling the impact of cybercrime within any organization. See more information, and how it's the right tool for you! &gt;&gt; https://t.co/OJgAcYaj5s https://t.co/1i9TQckVeK",AWS
82,1600588466219261954,"👋  Flexport  is hiring Software Engineer I 

🌇 Amsterdam, Netherlands, Netherlands 
💪 #javascript #node #nodejs #scala #aws 

#tech #softwareengineer #jobs 
https://t.co/CZnI6FcyG1",AWS
83,1600576904695791618,"Congrats to our friends over at @OpsLevelHQ! 🥳 We love to see #startups making the investment into the Cloud GTM movement early on for long-term success.

We're thrilled to be a partner on your journey to help build and scale your #Cloud #GTM strategy. https://t.co/HdsJO40zcd",AWS
84,1600573492818083840,"AWS’ Ruba Borno On IBM, Cisco And AWS Marketplace Growth | CRN https://t.co/EpDhQ9hqZh",AWS
85,1600570624698613760,"""New – AWS Marketplace for Containers Now Supports Direct Deployment to Amazon EKS Clusters"" https://t.co/Bo4NGmEKCb",AWS
86,1600570222901334016,JumpCloud hits AWS marketplace as Apple's enterprise market grows https://t.co/9OfZhhEgsN,AWS
87,1600569221208895488,"Do cloud 3p marketplace fees go up if say, AWS prints a teens growth quarter?

SaaS vendors have been happy enough to get on the marketplace but what are the chances of their margins getting squeezed just when they focus on bottomline?",AWS
88,1600567636542226438,"You can find our #questdb #AMI on the #AWS #Marketplace! 
Link here: https://t.co/oOeVpCXMcf
#database #opensource #cloud https://t.co/Y5QGqPfcDX",AWS
89,1600543915450548239,"AWS’ Ruba Borno On IBM, Cisco And AWS Marketplace Growth https://t.co/ju7WFVMYW7",AWS
90,1600541150271750164,AWS Marketplace for containers now supports direct deployment to EKS clusters https://t.co/aPjRvpXIR9 https://t.co/inc7kyoZmX,AWS
91,1600538167966584833,#Clouddeployment helps #software providers attract new customers to their products while simplifying maintenance and billing processes. Explore how to prepare your product for deployment in #AWS Marketplace: https://t.co/2w1YEPogHa https://t.co/SM9scXx8xV,AWS
92,1600538155907784704,"☁️ Want to streamline third-party software risk assessments? AWS Marketplace Vendor Insights compiles evidence about a vendor’s security 🔒 risk in a unified dashboard 📊 for AWS Marketplace buyers. This blog tutorial shows you how to access &amp; use it:

https://t.co/vRfkH31Qjt https://t.co/y9QyvKI78o",AWS
93,1600533198546829313,"https://t.co/TXt4eSSrGx

Buy Facebook Ads Accounts. Buy Facebook Accounts with Marketplace. 100% real phone number verified Aged Facebook Ads Accounts with a money-back guarantee.
#safebizs
#APM #AIOps #AI #ML #DL #Cloud #AWS #Azure #GCP #Serverless #DevOps #DevSecOps #Blockchain",AWS
94,1600524349362012162,A game-changer for the #utility industry has just made it to Amazon Web Services Marketplace! Hitachi Imaged-Based Inspections solutions are now fully validated and available on AWS Marketplace. Get the latest on this news: https://t.co/JjaL8uIe2e https://t.co/Kt6OChqC0j,AWS
95,1600514146763788288,https://t.co/cR9LnZEIEH https://t.co/HQyQrzpveW,AWS
96,1600507394668232707,#Deloitte and AWS collaborate to drive greater efficiencies and bring products and services to market faster in the increasingly competitive marketplace. Learn more here. https://t.co/Ab69zpY0w1,AWS
97,1600506951825330176,"4/7 

@akashnet_ , decentralized marketplace for cloud computing

Akash network allows developers to launch Dapps on a decentralized cloud. Its cost is lower than other centralized cloud services like AWS and google cloud.",AWS
98,1600506668378300417,How @Vistaprint built a #DataMesh enabled by @awsmarketplace solutions https://t.co/2y9t8Dbdgp #AWS #Cloud #CloudComputing #Analytics #DigitalTransformation https://t.co/KSmHrzjl74,AWS
99,1600482874259562497,Phirestream 2.1.0 is also now available on the @awscloud Marketplace! Phirestream redacts sensitive information from streaming data in Apache Kafka. https://t.co/SCZdK0fYJD https://t.co/2sK4UqwxCm,AWS
100,1600472825424396288,☁️ Want to streamline third-party software risk assessments? AWS Marketplace Vendor Insights compiles evidence about a vendor’s security 🔒 risk in a unified dashboard 📊 for AWS Marketplace buyers. This blog tutorial shows you how to access &amp; use it: https://t.co/umU2aKM7Wj,AWS
101,1600470657078333441,LINBIT LINSTOR auf AWS Marketplace - https://t.co/LbrZQmc8xY #it-business #it #onlinemarketing @webnic,AWS
102,1600465151018270722,"➠ LINBIT LINSTOR auf AWS Marketplace

» LINBIT bietet mit LINSTOR widerstandsfähige und schnelle persistente Container Storage, die die Fähigkeiten von Linux Storage und Kubernetes  nutzt. Sie ist jetzt auch auf dem AWS Marketplace erhältlich.
 
  https://t.co/v1AmTGA8Jt",AWS
103,1600445373398425600,"#linbit #itpt #kubernetes 
https://t.co/L4ReDRPN6e",AWS
104,1600442190697844736,☁️ Want to streamline third-party software risk assessments? AWS Marketplace Vendor Insights compiles evidence about a vendor’s security 🔒 risk in a unified dashboard 📊 for AWS Marketplace buyers. This blog tutorial shows you how to access &amp; use it: https://t.co/1DexaCtGFF,AWS
105,1600438642291269632,"Redington Marketplace provides an intensively curated catalogue qualified by AWS as a third party solution provider to help establishments adjust to changing environments and deploy solutions quickly with ease.
#redingtonvalue #aws #marketplace #educationalinstitutions #education",AWS
106,1600398277874098176,"Leverage QuickInfra to simplify AWS  Landing Zone creation.

For a free trial register here:- https://t.co/Ud6EypU2I4

Schedule a Demo:- https://t.co/dhEOdQalJv
AWS Marketplace:- https://t.co/ioVvclr1fV

#QuickInfra

#CloudComputing #AWS #infrastructure #AWSCertified #Migration https://t.co/lNdUyORDVk",AWS
107,1600372678908837889,“新機能 – AWS Marketplace for Containers が Amazon EKS クラスターへの直接デプロイのサポートを開始 | Amazon Web Services” https://t.co/i0LQyeQQij,AWS
108,1600358572306604038,Carahsoft Announces Availability of Adobe in AWS Marketplace https://t.co/TSIw9CGro6,AWS
109,1600343817663774721,"ZoomInfo, AWS Partner to Improve Go-to-Market Data Delivery | The Pipeline https://t.co/xNpt33jyBw",AWS
110,1600324681269379075,"I deployed the web app using https://t.co/j4FiuZEFXP, the world's first open source cloud computing marketplace, offering prices up to ten times cheaper than the big cloud companies like AWS, GCP, Azure. (follow @akashnet_ and @gregosuri for more info) mine costs ~$3/month 👀",AWS
111,1600321788331835393,"Now This:  Q&amp;A: Databricks reveals key insights on evolving AWS Marketplace partnership - SiliconANGLE News

#datalake #deltalake #databricks

Read More Here:
https://t.co/rbrRq2PS7g",AWS
112,1600279083555897345,"How Vista built a data mesh enabled by solutions available in AWS Marketplace

https://t.co/5pcyUESxD9",AWS
113,1600277442849308672,"Vista が AWS Marketplace で利用可能なソリューションによって有効化されたデータ メッシュを構築した方法
https://t.co/dt4XqVcJJu",AWS
114,1600269798470045707,AWS Marketplace para contenedores ahora admite la implementación directa en clústeres de EKS https://t.co/ZeOEQicpeS,AWS
115,1600253532547997720,コンテナ向け AWS Marketplace で EKS クラスターへの直接デプロイが可能に https://t.co/MA0FG5NJxt,AWS
116,1600250497264672768,コンテナ向け AWS Marketplace で EKS クラスターへの直接デプロイが可能に https://t.co/kEzEMRBXwR,AWS
117,1600249489167896577,You can now find https://t.co/fODMw1tPsJ on the AWS Partner Network. Read more about our partnership here: https://t.co/qB4PcCJYQc #AWS #Regtech #compliance #BFSI https://t.co/8W21rpUVxX,AWS
118,1600246186295775233,".@NS1 the leader in smart network control solutions, has announced the availability of NetBox Cloud in @awsmarketplace. AWS customers will now be able to use NetBox Cloud to build authoritative inventory without the challenges of management overhead. https://t.co/iOoNe8Rt98",AWS
119,1600232659333963776,@beerbrewingdev @ninaturner If Amazon decides to steal the most popular products on their website (they already do) AND drop all competitors once they come out with their version - essentially eliminating all competition from the largest marketplace in the country - plus blocked them from AWS going forward?,AWS
120,1600196409415827475,AWS Tightens EKS and AWS Marketplace Integration - Container Journal https://t.co/jcLwUzfTlK #devops #ethicalhacker,AWS
121,1600192127215861760,A Renová Tu Vestidor é um marketplace que proporciona a milhares de pessoas moda sustentável e rápidacom a ajuda da AWS. 🚀 Conheça a empresa e saiba como essa parceria funciona: https://t.co/aaeGdiWCTr https://t.co/qzqDfFRaQO,AWS
122,1600192107888640016,"Renová Tu Vestidor es un marketplace y pone a disposición de miles de personas moda sostenible y rápida. Para manejar la escalabilidad y ampliar el sistema a nivel técnico, confiaron en AWS. Descubra cómo funciona esta asociación 🚀 https://t.co/tYeonCoYZ2 https://t.co/RSlF2DowsS",AWS
123,1600188764508540929,"#うひーメモ
投稿時間:2022-12-07 03:01:45
How Vista built a data mesh enabled by solutions available in AWS Marketplace
https://t.co/xjtGf0ziqN
#AWS",AWS
124,1600188636829450243,AWS Marketplace Vendor Insights is now generally available! Vendor Insights helps you streamline the third-party software risk assessment process by enabling sellers to make security &amp; compliance information available in AWS Marketplace. #reInvent https://t.co/ODoBsHEsle https://t.co/2QgNVckh3P,AWS
125,1600183036162752520,"Capgemini's Cloud SOC Essentials service offers a fully managed service providing visibility into high-value alerts along with actionable reports at a fraction of the cost of the alternatives. 
#aws #capgemini #marketplace #security #wellarchitected https://t.co/mcq76AaetK",AWS
126,1600180882186313730,"The AWS Marketplace Blog #AWSMarket
https://t.co/yyTq6anxJG
By: Ethan Fahy, Michał Zasadziński, Atilla Tunçelli, and Christopher Bova*",AWS
127,1600180817963192320,"Amazon Web Services’ channel chief @rubaborno talks to @CRN's @markharanas about @Cisco “cloud-enabling” its channel partners via the @awsmarketplace, its newly enhanced @IBM partnership &amp; her message to @awscloud partners: https://t.co/KPq24xpXzQ

@AWS_Partners #AWS #AWSPartner https://t.co/uIXFvpjhqt",AWS
128,1600180233558261760,"Last week at #reInvent, we got to:

⭐ Hang out with 55K cybersecurity folks
🎥 Watch @Erkang on @theCUBE
🤝 Announce our participation in @AWS Marketplace Vendor Insights
🎯 Sponsor a party with @gitlab 
...and so much more!

Thank you for making this event a memorable one 💚 https://t.co/a9CRSmjnM5",AWS
129,1600180148132880384,"Excerpt: In this post, Michal, Atilla, Christopher, and I will explain what a data mesh is and show why Vista decided to create one. We’ll also show how Vista uses AWS services combined with solutions available in AWS Marketplace to build a multi-tenant data platform [1/2]",AWS
130,1600180078314491908,"New AWS Marketplace post by Ethan Fahy, Michał Zasadziński, Atilla Tunçelli, and Christopher Bova:

How Vista built a data mesh enabled by solutions available in AWS Marketplace
https://t.co/fZvMH76eAe",AWS
131,1600178647012323328,"""Cisco gets over 90% of its revenue through channel partners—they want to have the AWS Marketplace be how they cloud-enable their channel partners""

#AWS leader @rubaborno talks revamped #IBM partnership, #Cisco &amp; @awsmarketplace growth
https://t.co/wy2m7HyYKd",AWS
132,1600178274944143366,https://t.co/umRsEW8ob5,AWS
133,1600178265976672263,https://t.co/6WYiQdHg0l,AWS
134,1600174598162718720,"Daon Identity Proofing and Authentication Solutions Now Available on the AWS Marketplace - https://t.co/v9bA7SGKKZ
Amazon Web Services Customers Can Now Choose Daon IdentityX® with Simpler Procurement for Global Deployment 
FAIRFAX, Va.--(BUSINESS WIRE)--#biometrics--Daon, the... https://t.co/EN1g3cDRjL",AWS
135,1600174397830168576,"We're excited to announce the availability of Daon IdentityX® on the Amazon Web Services (AWS) marketplace. Daon's award-winning identity proofing and authentication platform leads the market in mitigating fraud and improving CX. For more info: 
https://t.co/PgmR1Xi9rs https://t.co/TqhfdWhbHj",AWS
136,1600174199888236545,#Terraform's #AWS provider request #20601 moved from position 957 to 845 after gaining 1 👍s. It now has 8 👍s.  -- AWS: Provide support for private marketplace (catalogues) https://t.co/FAV07Dr5Uo,AWS
137,1600174188169682945,"Did you know? 🗣

RapidFort can now be deployed in your own private AWS account for strict data compliance &amp; sovereignty requirements. 

That gives your teams unfettered access to optimize an unlimited # of containers throughout the contract period. ☞ https://t.co/FHAefbWoC7",AWS
138,1600167364599091201,Daon Identity Proofing and Authentication Solutions Now Available on the AWS Marketplace https://t.co/cn9YACBLfJ https://t.co/hFxx5li4Y6,AWS
139,1600164937598631936,"AWS’ Ruba Borno On IBM, Cisco And AWS Marketplace Growth https://t.co/zwpdEsRudP https://t.co/ttANfv0kTN",AWS
140,1600163684256567305,ICYMI: Invicti is now on the @awsmarketplace. You can find us at https://t.co/Bfs5A72yNH! https://t.co/dRx8Ec0axQ,AWS
141,1600155876383653888,"🎉 Big announcement from @SplitSoftware  a few days ago:

✨ Split Software Now Available in AWS Marketplace ✨

🔗 https://t.co/wX5HUoH7ML

#FeatureFlags #DevOps",AWS
